id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2265,Zen-East in the Heart of Austin (monthly rental),2466,Paddy,,78702,30.27752,-97.71377,Entire home/apt,179,7,26,2021-07-02,0.36,3,35,2,
5245,"Eco friendly, Colorful, Clean, Cozy monthly share",2466,Paddy,,78702,30.27614,-97.7132,Private room,114,30,9,2017-02-24,0.21,3,0,0,
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,108,2,575,2021-09-25,24.16,1,324,39,
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,39,1,264,2021-07-03,5.95,1,0,7,
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,109,3,117,2021-04-02,1.27,1,0,4,
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,146,3,254,2021-10-04,2.06,1,201,22,
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,44,3,46,2019-05-28,1.08,1,59,0,
13035,Historic house in highly walkable East Austin,50793,Molly,,78702,30.26098,-97.73072,Entire home/apt,150,30,12,2017-03-18,0.11,2,331,0,
21126,Quiet Mid Century Modern Retreat with Patio and Yard,80406,Dani,,78704,30.24417,-97.73988,Entire home/apt,232,1,126,2021-09-17,2.06,12,132,18,
22166,Close in Hill country views NW,84906,Stacey,,78759,30.38794,-97.76358,Entire home/apt,153,30,11,2021-01-10,0.08,1,107,1,
22828,Garage Apartment near S Congress,56488,David,,78741,30.23614,-97.73225,Entire home/apt,58,31,44,2021-09-28,0.33,1,233,7,
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,350,2,32,2021-04-18,0.29,1,325,2,
47572,Cozy Home in  N. Austin for Longer Stays,215917,Belinda,,78758,30.37783,-97.70749,Private room,35,30,5,2021-03-28,0.16,1,266,1,
50318,Scooby Doo House,12409,Flip,,78705,30.28588,-97.75145,Entire home/apt,117,30,30,2019-10-15,0.47,2,328,0,
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25756,-97.76995,Entire home/apt,102,1,810,2021-10-13,20.45,2,240,122,
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.26146,-97.77276,Entire home/apt,149,2,146,2021-09-26,125.14,2,241,35,
69352,Enchanting Zilker Cottage~Downtown,347068,Particular Properties,,78704,30.25811,-97.76368,Entire home/apt,299,2,390,2018-05-24,3.05,2,330,0,
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.2309,-97.76619,Entire home/apt,129,2,441,2020-03-14,8.73,1,19,0,
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23644,-97.76611,Entire home/apt,346,2,35,2021-06-22,0.71,1,26,5,
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24648,-97.74913,Entire home/apt,150,2,156,2021-10-10,2.30,1,65,13,
72833,"Private, Detached, Central Austin Cottage",378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,101,1,371,2021-09-26,8.26,1,166,19,
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,Vivian,,78727,30.41419,-97.73183,Entire home/apt,280,2,37,2021-10-03,0.77,1,324,11,
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.29016,-97.74478,Entire home/apt,97,30,53,2021-07-31,0.48,2,263,6,
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24473,-97.77923,Entire home/apt,197,2,232,2021-10-03,2.50,2,261,24,
75957,Charming 1 Bedroom Cottage Apt In Tarrytown,404260,Kelly,,78703,30.29033,-97.76886,Entire home/apt,121,2,359,2021-10-10,6.05,1,311,50,
76497,Chic 2 Bdrm DwnTwn where Airbnb CEO stayed twice.,177441,Ash,,78703,30.27678,-97.75805,Entire home/apt,243,2,233,2021-10-03,1.92,2,345,30,
76501,Upstairs Flat in Central Austin,408534,Kevin And Bob,,78722,30.29192,-97.71939,Entire home/apt,103,2,195,2021-10-10,2.34,1,183,17,
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,Cole,,78702,30.26945,-97.72491,Entire home/apt,636,2,156,2021-09-26,2.91,1,326,14,
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25505,-97.72552,Entire home/apt,400,2,16,2019-05-27,0.14,1,0,0,
76996,The Travis Heights Tree House,1665428,Krista,,78704,30.23872,-97.74521,Entire home/apt,80,20,44,2021-05-22,0.35,1,179,3,
77347,Room or rooms,382265,Leslie,,78733,30.33877,-97.882,Private room,104,2,0,,,1,319,0,
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25023,-97.77985,Entire home/apt,179,2,36,2021-09-11,0.42,1,324,14,
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25659,-97.76772,Entire home/apt,750,4,90,2020-04-23,2.39,1,0,0,
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.27672,-97.74799,Entire home/apt,240,1,6,2019-05-26,0.05,3,0,0,
78422,Living the Dream on Richardine (East Austin),421002,E. Dixie,,78702,30.27443,-97.71135,Entire home/apt,75,7,4,2021-05-01,1.13,1,11,3,
78831,Cool Hyde Park efficiency apartment,423840,Marcus,,78751,30.31106,-97.72373,Entire home/apt,106,2,355,2021-10-10,2.75,1,18,17,
78884,Beautiful Zilker Park Condo next to Downtown!,2157243,Sean,,78704,30.26126,-97.77358,Entire home/apt,134,2,156,2021-10-07,1.31,9,116,16,
79100,Bungalow-Pool-Central East-51st Area,425706,Robert,,78723,30.30933,-97.6952,Entire home/apt,138,30,28,2021-10-09,0.27,4,53,6,
79603,Beautiful Bouldin Cottage - 78704,428883,Beau,,78704,30.24948,-97.75896,Entire home/apt,182,2,111,2021-09-25,0.87,1,232,32,
79768,East-Side Bungalow,430091,Shawn,,78702,30.26035,-97.73253,Entire home/apt,225,4,34,2019-03-11,0.40,2,0,0,
80725,Central Austin Home,436771,Merlyn,,78703,30.28251,-97.76874,Entire home/apt,150,30,0,,,1,0,0,
82033,"Clean and quiet 3/2, in Mueller area.",445746,Kimberly,,78723,30.30393,-97.68872,Entire home/apt,400,2,4,2018-04-28,0.87,1,176,1,
83643,Fun Central Austin Convenience,456230,Michele,,78752,30.32395,-97.71851,Private room,57,2,208,2021-10-04,3.90,1,331,28,
84771,Campus Retreat,321037,Lucien,,78705,30.29386,-97.74188,Entire home/apt,81,2,16,2018-01-03,0.35,2,0,0,
89475,"2 Living Rooms, Lots of Big Beds! 3 king, 2 queen",487072,Greg & Amanda,,78757,30.35681,-97.72618,Entire home/apt,329,30,116,2020-04-11,2.70,14,0,0,
90898,"Artsy, Cozy, and Fun; Our Travis Heights 2-1",236847,Lester,,78704,30.24498,-97.74935,Entire home/apt,161,1,98,2021-09-26,1.44,1,353,16,
104099,Zilker Guesthouse,213651,Daniel,,78704,30.25433,-97.77582,Entire home/apt,99,2,178,2021-10-11,2.83,2,51,10,
104386,South Austin Cottage 78704 - 2BR,543367,Mary,,78704,30.24645,-97.74701,Entire home/apt,150,31,134,2021-10-03,1.67,2,279,6,
113779,Spacious 1BR w/ Office in Hyde Park,578211,Pete,,78751,30.3027,-97.72945,Entire home/apt,128,20,90,2021-10-10,0.77,9,322,12,
113791,Avenue G Guesthouse in Hyde Park,578249,Larry And Susan,,78751,30.30244,-97.73148,Private room,60,30,12,2018-06-22,0.22,2,286,0,
116014,SXSW LAST MINUTE Downtown Space,419707,Julia,,78701,30.27521,-97.74793,Entire home/apt,259,1,2,2019-04-14,0.02,3,0,0,
128326,Austin City Limits-Private Pool by Nature Preserve,634580,Morrie And Rachel,,78736,30.24395,-98.00244,Entire home/apt,295,3,64,2021-10-04,1.06,1,337,20,
140474,Historic Hyde Park Home By Downtown,578211,Pete,,78751,30.30215,-97.73046,Entire home/apt,157,20,79,2021-07-31,0.82,9,345,8,
140504,1915 Home w/1BR With Modern Flare,578211,Pete,,78751,30.30397,-97.73037,Entire home/apt,126,20,80,2021-09-25,0.67,9,320,12,
145210,Maiden Lane Guesthouse,475506,Dan,,78705,30.30203,-97.74235,Entire home/apt,150,30,201,2021-08-25,1.92,1,318,3,
155359,TheTramHouse-90 Day Min,372205,Keith,,78732,30.41813,-97.88915,Entire home/apt,99,90,33,2018-11-18,0.38,4,1,0,
158398,Barton Hills oasis! Bike/scooter to Zilker Park!,760426,Lis,,78704,30.25288,-97.78491,Entire home/apt,742,4,16,2021-10-11,0.29,1,301,5,
166561,SOCO ItZ bitZ Bungalow,347068,Particular Properties,,78704,30.2415,-97.76194,Entire home/apt,299,30,363,2019-10-28,3.00,2,112,0,
167459,SXSW and ACL 4 bedroom in Austin!,628942,Marnie,,78746,30.27767,-97.79126,Entire home/apt,800,3,7,2014-03-12,0.07,1,350,0,
174828,Light and Airy Central Austin Retreat with Gorgeous Patio,835236,Jenny,,78752,30.33238,-97.71233,Entire home/apt,404,2,333,2021-10-11,5.82,1,124,20,
