id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27934,Nice room with superb city view,120437,Nuttee,,Ratchathewi,13.75983,100.54134,Entire home/apt,1821,3,65,2019-12-10,1.11,2,362,0,
27979,"Easy going landlord,easy place",120541,Emy,,Bang Na,13.66818,100.61674,Private room,1260,1,0,,,2,358,0,
28354,Place near Metro and Shopping Mall ( Monthly only),121848,Jaruwan,,Chatu Chak,13.81152,100.56624,Entire home/apt,1159,28,52,2019-11-21,0.44,1,364,0,
28745,modern-style apartment in Bangkok,123784,Familyroom,,Bang Kapi,13.75232,100.62402,Private room,800,60,0,,,1,365,0,
35780,Spacious one bedroom at The Kris Condo Bldg. 3,153730,Sirilak,,Din Daeng,13.78823,100.57256,Private room,800,5,1,2016-07-13,0.02,1,365,0,
35807,The escape Condo,153749,Waraporn,,Bang Na,13.67307,100.60768,Private room,1821,1,0,,,1,365,0,
36458,Malls*BTS:E10>350m*WiFi*Clean*Flexible*Foods*Safe,153793,Pemika,,Phra Khanong,13.69987,100.60164,Entire home/apt,573,1,48,2019-11-26,1.44,14,23,0,
48736,Condo with Chaopraya River View,222005,Athitaya,,Rat Burana,13.68556,100.49535,Private room,1492,3,1,2014-02-03,0.01,1,365,0,
55681,Sathorn Terrace Apartment(61),263049,Tor,,Bang Rak,13.71934,100.5176,Private room,796,2,27,2015-05-19,0.29,13,365,0,
55686,Comfy bedroom near River pier & BTS  Taksin.,263049,Tor,,Sathon,13.71802,100.51539,Hotel room,2175,2,208,2019-12-02,1.95,13,0,0,
59221,budget hotel bangkok near subway,284095,Mimi,,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,2012-08-16,0.05,2,365,0,
61000,Apt.@Pinklao near shopping mall,294896,Kate,,Bang Phlat,13.78085,100.47526,Entire home/apt,829,30,1,2011-02-12,0.01,1,313,0,
62217,Luxury@swimpool/FreeWiFi/nearJJMkt,302658,Srisuk,,Phaya Thai,13.79152,100.53982,Private room,3979,1,0,,,1,365,0,
66046,"24Flr- 1br Apt near JJ, MRT, BTS",323158,Sue,,Chatu Chak,13.82298,100.56484,Entire home/apt,1159,2,9,2020-03-04,0.11,4,365,0,
105042,Central Bangkok 3 Bedroom Apartment,545890,Henry,,Khlong Toei,13.73378,100.56303,Entire home/apt,5431,28,148,2018-12-13,2.64,1,362,0,
113744,River View - Ivy Condo (1 Bedroom),578110,Muay,,Rat Burana,13.68568,100.49231,Private room,1326,30,0,,,1,365,0,
118118,Pan Dao Condo 5 min from BTS On Nut,596463,Dustin,,Khlong Toei,13.70441,100.59968,Entire home/apt,1656,2,3,2011-08-28,0.03,1,365,0,
121410,"MetroPoint Suite Room, Near Airport",610315,Kasem,,Bang Kapi,13.76747,100.63287,Private room,1190,1,0,,,3,365,0,
145343,Boutique Rooms Near Bangkok Airport,703944,Parinya,,Lat Krabang,13.721868,100.771713,Private room,990,1,14,2019-03-18,0.17,1,365,0,
156583,Studio near BTS and MRT close to Silom,58920,Gael,,Bang Rak,13.7285,100.52313,Entire home/apt,900,3,61,2017-04-06,0.56,2,181,0,
159355,Nice and Cozy Room @ Sathorn Area,764690,Wirat,,Yan na wa,13.71363,100.54652,Entire home/apt,1656,2,0,,,1,364,0,
159854,Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,766443,Gerd,,Vadhana,13.74293,100.55603,Entire home/apt,1733,3,205,2020-01-23,1.77,4,239,0,
166267,Smart 1Bed Apt. Near MRT and BTS,58920,Gael,,Bang Rak,13.72733,100.52555,Entire home/apt,1150,7,66,2020-03-04,0.60,2,365,1,
169285,Stay at the ROARING RATCHADA!,806600,Frances,,Huai Khwang,13.78118,100.58349,Private room,1258,1,0,,,1,365,0,
169514,2br apt in Sukhumvit Asoke near BTS,729617,Kanchuya,,Vadhana,13.74464,100.55784,Entire home/apt,1656,90,0,,,1,365,0,
171422,House near skytrain BKK Thailand,818004,Moeito,,Phra Khanong,13.70331,100.61089,Entire home/apt,993,30,0,,,1,358,0,
185364,Beautiful Wood Bangkok Resort House,889670,Narumon,,Nong Chok,13.779,100.83671,Entire home/apt,4974,1,0,,,1,365,0,
222557,"2 BR free weekly cleaning, near BTS, public park",1155796,Sutisa,,Din Daeng,13.76258,100.54384,Entire home/apt,1159,30,194,2020-01-03,2.01,1,365,0,
241416,Sukhumvit52 near SkyTrain to BkkCBD,960892,Vajirune,,Phra Khanong,13.70169,100.5977,Private room,2152,3,0,,,1,365,0,
296960,Luxury&Comfy wthWifi walk-distance to Subwy-Malls,175729,Mitch & Mam,,Chatu Chak,13.80926,100.56892,Entire home/apt,861,358,56,2014-07-23,0.48,1,365,0,
308176,Basement-liked/quiet cozy room for young traveler.,263049,Tor,,Bang Rak,13.71897,100.51724,Hotel room,2175,1,33,2019-02-17,0.35,13,0,0,
313459,One Bed Room at Sukumvit 50 Bangkok,1611711,Nichapat,,Khlong Toei,13.71513,100.5683,Private room,2129,1,0,,,1,365,0,
320014,2-BR condo near BTS on Sukhumvit Rd,843854,Anshera,,Khlong Toei,13.7281,100.57318,Entire home/apt,2484,30,66,2018-01-04,0.71,1,180,0,
342830,"1 min to BTS, NETFLIX, Reasonable Monthly Stay",1295674,Aor,,Parthum Wan,13.74896,100.5282,Entire home/apt,2393,15,275,2020-02-12,3.33,11,365,0,
360745,Luxury Condo in heart of Bangkok,1823870,Jeerapa,,Sathon,13.72305,100.53743,Entire home/apt,2815,3,8,2014-05-08,0.07,2,364,0,
373694,Skyrise Apartment very near Subway,1879790,Joe,,Chatu Chak,13.81061,100.5657,Entire home/apt,730,1,165,2020-04-04,2.11,1,158,0,
384924,Oasis in the heart of Bangkok,1667508,Siriwipa,,Ratchathewi,13.74902,100.55652,Entire home/apt,828,60,93,2018-12-30,1.20,1,179,0,
385278,Nice River View Condominium 30 sq.m,1928343,Chanvit,,Rat Burana,13.68426,100.49841,Private room,1492,1,0,,,1,365,0,
385979,Monthly rent 2Beds/2Baths quiet APT at BTS,1681901,Pornpan,,Khlong San,13.71905,100.50414,Entire home/apt,1747,30,80,2020-01-28,0.71,2,365,0,
390611,Sukhumvit apartment near Nana BTS,807406,Hollis,,Khlong Toei,13.74052,100.55237,Entire home/apt,662,1,175,2020-08-06,1.62,1,349,1,
393066,✺✺99 feet in the sky✺✺,1927968,Evan,,Sathon,13.72062,100.54707,Entire home/apt,510,1,420,2020-03-16,3.81,15,333,5,
