id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6283,Casa Al Sur,13310,Pamela,,Balvanera,-34.60523,-58.41042,Entire home/apt,4974,3,1,2011-01-31,0.01,1,365,0,
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,,Palermo,-34.58184,-58.42415,Entire home/apt,6459,2,27,2021-04-03,0.33,1,176,1,
12463,Room in Recoleta - awesome location,48799,Matt,,Recoleta,-34.59777,-58.39664,Private room,2683,1,20,2016-02-12,0.17,1,0,0,
13095,Standard Room at Palermo Viejo B&B w pvt Bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2814,1,1,2018-12-18,0.03,7,365,0,
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2814,1,0,,,7,365,0,
13097,Standard Room at Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,2814,1,1,2019-11-27,0.04,7,365,0,
13099,Lofty room in Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.59327,-58.42953,Private room,3752,1,0,,,7,365,0,
13100,Master Room in Palermo Viejo B&B w  pvt Bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,4690,1,1,2017-11-23,0.02,7,365,0,
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",87710233,María,,Palermo,-34.58617,-58.41036,Entire home/apt,3232,5,90,2019-11-03,0.80,1,363,0,
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,,San Nicolas,-34.60786,-58.37211,Entire home/apt,11938,1,0,,,1,365,0,
15074,ROOM WITH RIVER SIGHT,59338,Monica,,Nuñez,-34.53892,-58.46599,Private room,2985,29,0,,,1,365,0,
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,,Balvanera,-34.60346,-58.41179,Private room,3624,3,6,2011-07-11,0.05,2,365,0,
