id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3191,Malleson Garden Cottage,3754,Brigitte,,Ward 57,-33.94739,18.476,Entire home/apt,443,3,54,2020-02-05,0.56,1,319,0,
15007,Blaauwberg House,59072,Dirk,,Ward 23,-33.80001,18.46063,Entire home/apt,2458,2,30,2018-02-11,0.63,2,168,2,
15077,Top relaxed beach living in style,59342,Georg,,Ward 4,-33.85812,18.49043,Private room,1241,5,5,2013-01-06,0.06,5,292,0,
15199,Self catering apartment,59694,Alexa,,Ward 115,-33.91044,18.41239,Entire home/apt,2500,14,2,2016-04-15,0.02,1,365,0,
15285,Waterford-Guinea Fowl Self Catering,59964,Chris+Alison,,Ward 71,-34.03863,18.43128,Entire home/apt,1600,2,9,2015-05-04,0.08,3,286,1,
15331,Mountview Accommodation,60058,Francis,,Ward 60,-33.97069,18.49697,Entire home/apt,606,2,3,2010-07-02,0.03,1,180,0,
15354,"Aurora Self Catering Units, Durbanville, Cape Town",60196,Ian,,Ward 112,-33.82924,18.63144,Entire home/apt,650,3,0,,,1,361,0,
15480,In hip designer district of Cape T.,60443,Jean,,Ward 115,-33.92876,18.42247,Entire home/apt,550,29,19,2020-01-02,0.20,1,300,1,
15704,Hollywood Mansion & Spa Camps Bay with Butler,61441,Kevin,,Ward 54,-33.96462,18.37595,Entire home/apt,22232,4,1,2017-11-14,0.02,7,261,0,
16259,Chambery - luxury self catering,63255,Cheryl,,Ward 59,-33.99463,18.46505,Entire home/apt,814,2,11,2021-10-03,0.15,3,266,4,
18499,Rooms in Halaal Villa Cape Town De Tijger,71221,Abe,,Ward 2,-33.88856,18.59054,Private room,871,7,0,,,1,364,0,
19271,Largo House self catering suite,73439,Beverley,,Ward 59,-33.97905,18.45676,Entire home/apt,506,2,62,2019-12-29,0.74,3,314,9,
19384,2 bed home with a view under Table Mountain.,73764,Ingrid,,Ward 77,-33.92667,18.40623,Entire home/apt,800,1,6,2017-11-26,0.11,1,93,0,
19561,Apartment in Durbanville,74188,Cherry,,Ward 103,-33.84192,18.67661,Private room,2954,2,0,,,1,365,0,
19658,Private Room,74504,Ricardo,,Ward 5,-33.87058,18.53464,Private room,1477,7,0,,,1,365,0,
20125,Double Bedr0om to Rent,76161,Debbie,,Ward 73,-34.02811,18.48246,Private room,1363,1,0,,,1,365,0,
20263,Villa Honeywood Five Star Self Catering Villa,837661,Daniel,,Ward 64,-34.13572,18.42007,Entire home/apt,5500,3,0,,,2,324,0,
20403,Light and Bright Somerset,76971,Bronwyn,,Ward 84,-34.10303,18.87076,Entire home/apt,8123,7,0,,,1,365,0,
20670,ROOM TO LET,78185,Gill,,Ward 64,-34.09117,18.48396,Private room,1108,3,0,,,1,365,0,
22218,Beautiful Constantia mansion,85249,Robert,,Ward 74,-34.02622,18.37492,Entire home/apt,3692,6,0,,,1,365,0,
22994,Heritage Home in Cape Town suburbs,89107,Sandra,,Ward 58,-33.95733,18.4881,Entire home/apt,1108,7,14,2018-07-16,0.20,1,22,2,
24670,The Original Majestic Apartment - Kalk Bay,100431,Grant,,Ward 64,-34.12549,18.44792,Entire home/apt,2000,4,16,2019-11-19,0.23,2,209,0,
28702,Waterford-Paddaplek Self Catering,59964,Chris+Alison,,Ward 71,-34.03765,18.43083,Hotel room,786,2,0,,,3,301,0,
28707,Waterford-Sunbird  B&B Suite,59964,Chris+Alison,,Ward 71,-34.03644,18.431,Entire home/apt,1200,2,4,2014-01-07,0.04,3,322,0,
36347,"Cosy, Downtown Loft with Mountain Views over Rooftop Deck",156196,Alan,,Ward 115,-33.92456,18.42238,Entire home/apt,1019,28,267,2021-06-30,3.84,2,23,8,
