id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9835,Beautiful Room & House,33057,Manju,,Manningham,-37.77247,145.09232,Private room,60,1,4,2015-09-12,0.03,1,365,0,
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.85999,144.97662,Entire home/apt,95,3,42,2016-01-25,0.71,10,0,0,
33111,Million Dollar Views Over Melbourne,143550,Paul,,Melbourne,-37.82163,144.96672,Private room,1000,1,2,2012-01-27,0.02,1,365,0,
38271,Melbourne - Old Trafford Apartment,164193,Daryl & Dee,,Casey,-38.05725,145.33936,Entire home/apt,99,1,163,2020-01-09,1.22,1,341,13,
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69729,145.00082,Private room,40,7,159,2017-08-24,1.69,2,0,0,
43429,Tranquil Javanese-Style Apartment in Oakleigh East,189684,Allan,,Monash,-37.8996,145.11447,Entire home/apt,99,2,215,2019-08-09,3.32,2,327,5,
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81266,144.96313,Entire home/apt,242,2,298,2020-01-25,6.79,1,297,38,
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82127,144.99408,Entire home/apt,94,3,70,2019-10-05,1.61,10,0,0,
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.80347,145.03583,Private room,45,2,176,2018-10-28,1.60,1,356,4,
68411,Large Bayside suburban house,334095,Alec,,Bayside,-37.93378,145.016,Entire home/apt,300,1,0,,,1,0,0,
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,Wendy,,Yarra,-37.78975,145.00469,Entire home/apt,180,2,1,2016-01-10,0.01,1,331,0,
72576,Stunning Fitzroy +private bathroom 'Little George',376675,Ramona,,Yarra,-37.80737,144.98054,Private room,100,2,544,2020-02-20,5.85,2,36,15,
74324,Tamerlane: Architect-designed luxury living,390761,Matt,,Yarra,-37.80415,144.97803,Entire home/apt,292,14,68,2021-04-12,1.24,1,289,1,
74959,Blissful Beachside Port Melbourne Warehouse,395864,Linda,,Port Phillip,-37.84098,144.9364,Private room,90,2,108,2018-01-24,0.85,1,277,0,
78143,2 bedrooms-ideal for friends/family in quiet area,419767,Julie,,Stonnington,-37.85162,144.98943,Private room,80,2,149,2019-03-18,1.68,1,360,4,
80986,Richmond CENTRAL PARK EDGE 1BR+WIFI,50121,The A2C Team,,Yarra,-37.81541,145.00157,Entire home/apt,84,3,80,2020-01-25,2.13,10,0,0,
86369,"Sunny 1950s Apartment, St Kilda East 
Longer stays",246509,Fiona,,Glen Eira,-37.87142,145.00785,Entire home/apt,125,21,10,2017-12-22,0.23,1,175,2,
108032,Studio apartment on Collins Street,559227,Malcolm,,Melbourne,-37.81595,144.96606,Entire home/apt,150,2,261,2021-04-25,2.09,1,364,7,
